,text,cEXT,cNEU,cAGR,cCON,cOPN,no. of. words,cEXT1,cNEU1,cAGR1,cCON1,cOPN1
0,right wake mid day nap sort weird move texas problems concentrate things remember start homework th grade soon clock strike stop course easier move homework get little challenge lot busy work decide spend hours get thing pay attention class plain know stuff look work hard stay track lastyears get lazy genius hey good late correct past know stay focus future thething know people live campus concentrate easier alas live home watchful eye parent little nag sister nag nag nag point thing hassle way school library study need know tell wrong come want need away shelter worry world thing ask room clean help business need get money live dorm apartment semester think advantage topic go sixth street night blast long know love austin live time blast students run night want fun know responsible able fun priorities straight live home ask come question wish treat like responsible person sister screw go crazy second move college mess college career party ultimate reason want fun little anymore need let explore world indian indian culture indian value fun mean sense meet people go people party plain fun school difficult think freedom pressure better school parent ultimately expect fun write know write help thoughts order hope fun read good luck ,n,y,y,n,y,204,0,1,1,0,1
1,stream consciousness essay things like high school pretty interest lack things normally consider get straight point wonder hit enter time send maybe fix later friend play guitar room sort play like mess learn draw wall comic book character think sure keep comic hear sound icq chat program internet know explain hope time friend come nice talk go home weekend labor day brother sure reason guess hmm start wow long line guess change later okay run things talk happen lot conversation interest person guess know work class help phone ring guy play guitar answer roommate suitemate come start read uncomfortable bathroom know bore piece literature realize dull everyday thoughts mind constantly move like time stop think deeply things wonder long go think aboutminutes second line sad consider long line wonder go rest night guess homework guess seat uncomfortable sort hurt think go arthritis older think like grow old old suppose active person fear grow old think guess away age gradually know deal paralysis accident long god friends okay pretty thirsty right drink room ultimate frisbee play summer fun game tire shape like better shape hate run dull hmmm minutes let line short reachable goals tonight guess read shirt smell like dinner pretty disgust need wake class tomorrow remember early line proud sarcasm way wonder suppose right thing narrative late time head time good bye good luck know ,n,n,y,n,n,226,0,0,1,0,0
2,open keyboard button push thing finally work need use periods commas think double space period help space word happy little assignment jibber jabber babble babble babble relax minutes feel silly grammatically incorrect link unknown reader graduate student absurd job type jabber think dinoflagellates sunflower cross fiberglass add lips cleave cigarettes think things think know think write let thoughts solidify lodge tongue maybe point hide dinoflaghelates protistas sea weed think san luiz valley think mushroom cow shit think ticos think chiggers live legs itch coat clear nail polish hop suffocate bug live legs remember marco remember ecuador think thoughts suppose assignment thoughts wonder think sentence wonder affect slowish type stream consciousness wonder way type speed measure study link generalization dorky psyc students green table kitchen make want vomit orange absurd color wish unite state greencard run years wonder hope linder get lab need fund pay library brainless job nothingness wallow world boredom entirely bad need focus school organics periodspaces period mistake want eat hungry wonder people talk food little ramble feel open happy edit type type know think hannah imi osdprey house remember go spiders hurt wall pain place paint cloud ceiling blue wall obnoxious carey sex sex sex yeah strange assignment portonoy complaint ring head eager finish start bell toll bio carbon atoms bond orbitals think electron configuration surround letter think grant orbitalanddown spin opposite directions think scottish poetry mike kilt guitar slowly slowly slowly learn play wonder go study wonder happy little bore entertain grad students scan word wonder mess study random word like know wish things easier wish keep eye clock wonder long type wish finish need work botany lab ils belly flamenco bjork rozamond cockrill kickin saratoga spring hate molly cat wish exchange worthwhile ferret type type type manage waste minutes time think know write take minutes write minutes type think wish financial aid come way need job sprinkle time time sign outta tree ,n,y,n,y,y,317,0,1,0,1,1
3,believe happen pulse race like mad like finally know feel like step wonder go sleep tonight sure course million deadlines meet tomorrow late excite yes yes believe finally happen wait calm officially couple end like horrible great wonder long finish calculus problems amy believe bob miracle worker things turn right owe repay wonder steve malaysia right entire month likely clean refrigerator omigosh food lunch tomorrow perfect way imaginable important think way maybe perfect certainly dynamic think good things come wait remember sign poster tomorrow morning hope steve alarm clock reliable oversleep tragic sleep til noon miss lunch thank goodness portia come definitely need support bob away tension ease rehearse things better right hopefully nervous maybe world humans torture maybe love worth ,y,n,y,y,n,121,1,0,1,1,0
4,good old stream consciousness assignment feel like freshman english class bad thing mind english teacher freshman year assignments constantly completely ridiculous like wow hungry wish taco bell point busy work psychology class reason assignment like let mind free put random thoughts write big help figure psychological screw true want get wrong idea today day class nut case people think normal kind gal actually texas guess normal like eat biscuits gravy breakfast country fry steak fry okra dinner connecticut okra worship like kind vegetable goddess mind start blank performance pressure guess spot want bore read read go stress probably go listen random incoherent babble paragraph computers big old pain ass smf sure get bajillion computers unfortunately get bajillion students try use time think spend late late nights center stuff yippee college late nights libraries yeah right point know college probably see go write anotherthese thingys days topic college blah blah blah believe actually assignment day assign talk dedication believe high school procrastination middle second semester free periods day actual class damn thing great unfortunately go work harder study skills par high school trip wait hat school town friends course family move right graduation learn real quick worse place old town home friends boyfriend piece crap car know move friends life car work day ready college thing austin like fun city actually enjoy spend nextyears yeah subjectyears professors administrators speeches stuff sound like college like years sorry plan graduate years problem people graduate years offense read take like years undergrad work try knock try figure exactly minutes start nifty little piece write make sense point sure fulfil assignment like suppose analyze personal stream consciousness take mean personality guess mind work mysterious ways essay illogically connect pattern yeah go try read get suggestion assignments box write box line writingtime scroll real big pain sure big pain try read course read line know suggestion thank take time opportunity easy final grade write assignments ,y,n,y,n,y,319,1,0,1,0,1
5,today turn music today go kvrx meet hopefully radio know talk consider great depth jeez songs start quietly cool begin start louder perfect roommate play game play game spend time homework know song erotic deep disturb way decide actually want study medical technology love things form chemistry mycology religious study speak good time psa meet pagan student alliance ahh get ta love screech chair let push ahhhhh yeah meet meet people caleb worry aboutthe women bind like wise unable speak ill charge run booth monday tuesday songagain team roommate win yeesh guess enjoy type poor assignment take long time minutes lalalalalalalal yes meet talk shamanism apparently come siberian word different shamanic follow world vast number tribes speckle world peter steele sexy voice love love song info dtos fun ellipses word fun think slowly run things song remind young age rid car talk family streetlights bright things happy remember car dog anymore epilepsy take incarnation wonder know miss wish possibly clairvoyance course assumption spirit equal know yes shall childhood bear interest mark past fuzziness recollect exact detail like brown fuzzy best word suck wonder lie answer machine love bright circle color psychotic manner hypnotic manner calm like calm sedate activity occasion good grey good color neutral yes passive passive good taoism philosophy believe interest currently read aleister crowley hermetic order interest bite abnormal eccentric remember read stories spiders milkmen field roses daisies yeah daisies look daisies look want past life regression wonder famous popular wow say strange things interest head hurt room hot like stop minutes leave watch finger press button enjoyable activity press slowly heavy fast lithe mean light yeah light hope right put consciousness record read guess cool interest say little wonder say ahh theminutes pass type ill slow halt ,y,n,y,n,y,291,1,0,1,0,1
6,stream consciousness write suppose kind direction suppose write exactly think feel like strange assignment homework pretty easy actually pretty intense worth worth hmm reason blank like think let happen today lucked econ quiz actually able guess way chance faith definitely pay important faith motto life faith fun life funny thingminute go like louie lug mcgurg example die tragically happen somebody step finger kill hang th story hotel time poor lug poor mrs lug streets sell apples point lug plan ahead government get oscar damn intense movie difficult figure think wen try blank try figure stream consciences life good entire internet business pretty cool think write paper send teacher push submit button wonder longer write havemore minutes leave ask think sit think usually want tell try think think get cricket great sport go sahara cup go play canada india paistanthe biggest cricket rivalries world team pak go victorious aamir sohai great cricketer believe drop team grant little form take indian crap bowlers park begin kind silly hope point wonder body actually go read reason doubt read feel sorry lot people garbage talk read maybe idea screen weird come onlylines pop write minutes kind ploy write believe think fact notice screen interest get tire type wait final minutes tick away hope gain think actually idea think quit early kind device tell long actually pretty scary god know technology nowadays hope enjoy read possible enjoy write fun relax write proofread like expert typer actually minutes faith fun read matter completion grade stuff amaze class ,n,n,y,n,n,251,0,0,1,0,0
7,rtf usenet site piece garbage send require message person slot probably credit worse access computers suck bad wait line usewell get bring oldfrom home different basically desk home right antique desk spend hour hour perfect work listen favorite music right hear journey string right stereo hall shut pay come miles miles earn right squander stupid sound effect loud music want hear inspector gadget simpson change channel watch minutes day certainly want choose roommate choose inconsiderate shmuck hall speak halls turn tight theoff room feel plush carpet feet cold refresh taste coke walk quickly room begin work night show miss miss countless mindless hours television pure mind numb entertainment beat industrial carpet wall right plush bed jake love give nip scratch ears night remind bumpkin exterminator come large clean invite house think bob cat vet call big bone mean obese eat bowl day pound cat gut remind cat pounder human equivalent pound theatre rock pei awesome guy eccentric freak myerson cool hot chocolate like christmas musical go guy pretty short mom work bald bowl alley floor play pool insane basement smell musty sleepovers fun ,n,n,n,y,y,183,0,0,0,1,1
8,unsure assignment afraid able think things minutes start mad right night allison rebecca stephanie go paul trey coon hunt allison go weekend fun drive hour killeen bridge hang prostitute later go house trashy rebecca want inside use bathroom go outside gross drive place hunt bed truck trey drive mph fly play game realize rebecca stephanie like cool bridge smell like shit rot carcasses scar stephanie tell ghost story bridge trey turn go bridge time scar field paul asshole take dog allison begin paul jodi trey flip leave walker bitch spice truck start walk creek turn raw sewage refuse paul scream bitch fuck go woods flashlight truck scar entire life pray time take spice afraid go rap murder bawl try tell parent telepathy love miss go die hear voice yell ask help trey come sure okay happy minutes later come look like night live dead briars thorns hair tell wish stay get bras panties clothe soak sewage drive home time paul bitch allison treat like shit think better love tell home class miss basically consume today sorry want ,y,y,n,y,y,177,1,1,0,1,1
9,today tough day believe fail talk asweenee girl power probably sun kick wait football game saturday definitely go beat rutgers rutgers lose week weak team point calculus class go bore tomorrow professor go continue lecture limit hope homework busy wed night phone door drive crazy kyle ringer high need buy bush soon songs pump let overcome fear talk asweenee hope remember concert know weird freak neal enjoy study chemistry reason extra problems guess feel insecure ability chemistry hope giants win week jacksonville good game know luck televise game care cowboys tonight want email steve tell difficult conquest girlfriend maybe things clear days finally courage good socialize freeze like long time maybe think screw know better baseball season near homestretch hope yankees catch orioles world series parent probably try right wonder phone line busy wonder linh adjust rice hope get depress see paul help hard time glad summer need good friend understand miss lot time know fine sound like parent wonder craig drive minnesota dad probably give lecture happen summer room need idiot door blare music spice girls suck go listen music taste think start feel effect hunan chicken stuff dog look like snoopy neal attach toy ,y,y,y,y,n,196,1,1,1,1,0
